,geometry,Year,wetdry
112,POINT (565572.3548884802 3479296.165943878),2020.0,dry
113,POINT (565577.0769671148 3479296.7916107923),2020.0,dry
114,POINT (565580.307373047 3479300.6079542665),2020.0,dry
115,POINT (565583.5377789792 3479304.4242977407),2020.0,dry
116,POINT (565587.5704540429 3479306.5246078274),2020.0,dry
117,POINT (565592.5703552077 3479306.5560457394),2020.0,dry
118,POINT (565597.5702563724 3479306.587483651),2020.0,dry
119,POINT (565602.5701575372 3479306.618921563),2020.0,dry
120,POINT (565607.570058702 3479306.650359475),2020.0,dry
121,POINT (565612.5699598668 3479306.681797387),2020.0,dry
122,POINT (565617.5698610316 3479306.713235299),2020.0,dry
123,POINT (565622.5697621964 3479306.744673211),2020.0,dry
124,POINT (565627.5696633612 3479306.776111123),2020.0,dry
125,POINT (565632.569564526 3479306.807549035),2020.0,dry
126,POINT (565637.5694656908 3479306.838986947),2020.0,dry
127,POINT (565640.9852104321 3479310.2588670794),2020.0,dry
128,POINT (565644.2155918935 3479314.075231267),2020.0,dry
129,POINT (565647.7850652147 3479317.1662962036),2020.0,dry
130,POINT (565652.7849662597 3479317.19775317),2020.0,dry
131,POINT (565077.9312406686 3479180.1773667093),2020.0,dry
132,POINT (565082.9311434369 3479180.2085485733),2020.0,dry
278,POINT (565058.7124310366 3479190.3205623506),2020.0,dry
279,POINT (565063.7123338437 3479190.3517379737),2020.0,dry
280,POINT (565068.7122366509 3479190.3829135965),2020.0,dry
281,POINT (565073.7121394579 3479190.414089219),2020.0,dry
282,POINT (565077.6773181029 3479188.157770828),2020.0,dry
283,POINT (565080.9552748046 3479184.3821914205),2020.0,dry
284,POINT (565084.2332315063 3479180.606612013),2020.0,dry
285,POINT (565089.0562488936 3479180.2467515403),2020.0,dry
286,POINT (565093.8127558611 3479180.798624478),2020.0,dry
287,POINT (565097.0433601642 3479184.614800029),2020.0,dry
288,POINT (565100.2739644672 3479188.43097558),2020.0,dry
289,POINT (565104.2723348511 3479190.60470708),2020.0,dry
290,POINT (565109.2722374873 3479190.635910105),2020.0,dry
291,POINT (565114.2721401234 3479190.66711313),2020.0,dry
292,POINT (565119.2720427596 3479190.6983161555),2020.0,dry
293,POINT (565124.2719453957 3479190.7295191805),2020.0,dry
294,POINT (565129.271848032 3479190.7607222055),2020.0,dry
295,POINT (565134.2717506682 3479190.791925231),2020.0,dry
296,POINT (565139.2716533043 3479190.823128256),2020.0,dry
297,POINT (565144.2715559405 3479190.854331281),2020.0,dry
298,POINT (565148.1472362155 3479193.290510216),2020.0,dry
299,POINT (565151.3778192685 3479197.1067037564),2020.0,dry
300,POINT (565154.6084023215 3479200.922897297),2020.0,dry
301,POINT (565159.4875857781 3479201.212366479),2020.0,dry
302,POINT (565164.4874882823 3479201.243590665),2020.0,dry
303,POINT (565169.4873907863 3479201.274814851),2020.0,dry
304,POINT (565174.4872932903 3479201.306039037),2020.0,dry
305,POINT (565179.4871957945 3479201.3372632232),2020.0,dry
306,POINT (565183.3323392605 3479203.8387623234),2020.0,dry
307,POINT (565186.5629074979 3479207.6549684056),2020.0,dry
308,POINT (565189.7934757351 3479211.4711744883),2020.0,dry
309,POINT (565194.7031871107 3479211.6953525264),2020.0,dry
310,POINT (565199.7030895089 3479211.726593658),2020.0,dry
311,POINT (565204.7029919073 3479211.75783479),2020.0,dry
312,POINT (565209.7028943055 3479211.7890759213),2020.0,dry
313,POINT (565214.7027967037 3479211.8203170532),2020.0,dry
314,POINT (565216.3322757684 3479215.1801196635),2020.0,dry
315,POINT (565216.3010282717 3479220.180022022),2020.0,dry
316,POINT (565219.3757309696 3479222.11256288),2020.0,dry
317,POINT (565224.3756332487 3479222.1438230653),2020.0,dry
318,POINT (565229.3755355278 3479222.1750832507),2020.0,dry
319,POINT (565234.375437807 3479222.206343436),2020.0,dry
320,POINT (565239.3753400861 3479222.237603621),2020.0,dry
321,POINT (565244.3752423652 3479222.2688638065),2020.0,dry
322,POINT (565249.3751446444 3479222.300123992),2020.0,dry
323,POINT (565254.3750469235 3479222.3313841773),2020.0,dry
324,POINT (565259.3749492026 3479222.3626443623),2020.0,dry
325,POINT (565264.3748514818 3479222.3939045477),2020.0,dry
350,POINT (564885.2094075517 3478986.082705505),2020.0,dry
351,POINT (564888.4401260187 3478989.8987844074),2020.0,dry
352,POINT (564891.6708444858 3478993.7148633096),2020.0,dry
353,POINT (564892.1279192916 3478998.537594625),2020.0,dry
354,POINT (564892.0968295033 3479003.5374979666),2020.0,dry
355,POINT (564894.6679193572 3479007.5929819336),2020.0,dry
356,POINT (564897.898630718 3479011.4090668517),2020.0,dry
357,POINT (564900.8223153036 3479015.3365820628),2020.0,dry
358,POINT (564900.7912211354 3479020.336485377),2020.0,dry
359,POINT (564900.8956949544 3479025.2871866743),2020.0,dry
360,POINT (564904.1263992097 3479029.103277608),2020.0,dry
361,POINT (564907.357103465 3479032.919368542),2020.0,dry
362,POINT (564909.4855841134 3479037.1354916054),2020.0,dry
363,POINT (564909.4544855653 3479042.135394892),2020.0,dry
364,POINT (564910.3541484872 3479046.7974968255),2020.0,dry
365,POINT (564913.5848404748 3479050.613598145),2020.0,dry
366,POINT (564916.8155324623 3479054.4296994647),2020.0,dry
367,POINT (564920.0462244498 3479058.2458007843),2020.0,dry
368,POINT (564923.2769164373 3479062.061902104),2020.0,dry
369,POINT (564926.5076084249 3479065.8780034236),2020.0,dry
370,POINT (564929.7383004124 3479069.694104743),2020.0,dry
371,POINT (564932.9689923999 3479073.510206063),2020.0,dry
372,POINT (564936.5082900036 3479076.6660874686),2020.0,dry
373,POINT (564941.5081931971 3479076.6972010587),2020.0,dry
374,POINT (564945.7743895592 3479078.2979723886),2020.0,dry
375,POINT (564949.0050654247 3479082.114087357),2020.0,dry
376,POINT (564952.2357412904 3479085.9302023253),2020.0,dry
377,POINT (564955.4664171559 3479089.7463172935),2020.0,dry
378,POINT (564958.6970930216 3479093.5624322616),2020.0,dry
379,POINT (564961.9409120594 3479097.350429473),2020.0,dry
380,POINT (564966.9408151469 3479097.3815600905),2020.0,dry
381,POINT (564971.9407182345 3479097.4126907075),2020.0,dry
382,POINT (564976.940621322 3479097.4438213245),2020.0,dry
383,POINT (564981.9405244095 3479097.474951942),2020.0,dry
384,POINT (564986.940427497 3479097.506082559),2020.0,dry
385,POINT (564990.6518617676 3479100.2936738916),2020.0,dry
386,POINT (564993.8825202379 3479104.1098035867),2020.0,dry
387,POINT (564997.1567424906 3479107.83273626),2020.0,dry
388,POINT (565002.1566454989 3479107.863879606),2020.0,dry
389,POINT (565006.6878704047 3479108.8976732595),2020.0,dry
390,POINT (565009.9185179143 3479112.7138122334),2020.0,dry
391,POINT (565013.1491654239 3479116.5299512073),2020.0,dry
392,POINT (565016.3798129336 3479120.3460901813),2020.0,dry
393,POINT (565019.6104604432 3479124.162229155),2020.0,dry
394,POINT (565022.8411079529 3479127.978368129),2020.0,dry
395,POINT (565027.5891246386 3479128.548386619),2020.0,dry
396,POINT (565032.4157924614 3479128.950144364),2020.0,dry
397,POINT (565035.6464264295 3479132.766294802),2020.0,dry
398,POINT (565038.8770603975 3479136.5824452396),2020.0,dry
399,POINT (565042.1076943657 3479140.3985956777),2020.0,dry
400,POINT (565045.3383283337 3479144.2147461157),2020.0,dry
401,POINT (565048.5689623018 3479148.0308965533),2020.0,dry
402,POINT (565049.5468408215 3479152.6646029446),2020.0,dry
403,POINT (565049.5156739183 3479157.6645058063),2020.0,dry
404,POINT (565051.5657951778 3479161.9090835415),2020.0,dry
405,POINT (565054.7964194587 3479165.7252421803),2020.0,dry
406,POINT (565058.0270437395 3479169.541400819),2020.0,dry
407,POINT (565062.9109725674 3479169.820675216),2020.0,dry
408,POINT (565067.6017102671 3479170.5132379746),2020.0,dry
409,POINT (565070.832326168 3479174.3294037078),2020.0,dry
410,POINT (565074.0629420688 3479178.1455694404),2020.0,dry
523,POINT (564861.0235317941 3478963.303380532),2020.0,dry
524,POINT (564865.9974952916 3478963.3899514726),2020.0,dry
525,POINT (564869.2282215009 3478967.2060238197),2020.0,dry
526,POINT (564872.4589477102 3478971.0220961673),2020.0,dry
527,POINT (564875.6896739195 3478974.838168515),2020.0,dry
528,POINT (564878.9204001288 3478978.654240862),2020.0,dry
529,POINT (564882.151126338 3478982.4703132096),2020.0,dry
636,POINT (565752.2067591861 3479349.4724547085),2020.0,dry
637,POINT (565752.1752534874 3479354.4723554463),2020.0,dry
638,POINT (565751.756299706 3479359.3261270216),2020.0,dry
639,POINT (565748.478131649 3479363.10152292),2020.0,dry
640,POINT (565745.199963592 3479366.876918819),2020.0,dry
748,POINT (565647.7053646485 3479307.8591255345),2020.0,dry
749,POINT (565650.9357428923 3479311.6754924455),2020.0,dry
750,POINT (565654.1661211362 3479315.491859357),2020.0,dry
849,POINT (565084.7441660147 3479152.2866731235),2020.0,dry
850,POINT (565084.7129823312 3479157.2865758804),2020.0,dry
851,POINT (565082.9980031708 3479161.6515364707),2020.0,dry
852,POINT (565079.7200428699 3479165.4271127535),2020.0,dry
853,POINT (565076.4420825691 3479169.2026890363),2020.0,dry
854,POINT (565075.810167436 3479173.9760608673),2020.0,dry
855,POINT (565075.778987721 3479178.975963649),2020.0,dry
1103,POINT (564851.2218241814 3478501.51358805),2020.0,dry
1104,POINT (564851.190759371 3478506.5134915467),2020.0,dry
1105,POINT (564851.1596945607 3478511.5133950436),2020.0,dry
1106,POINT (564851.1286297503 3478516.5132985404),2020.0,dry
1107,POINT (564851.09756494 3478521.513202037),2020.0,dry
1108,POINT (564854.0553075824 3478525.428309723),2020.0,dry
1109,POINT (564857.2861263981 3478529.2443036665),2020.0,dry
1110,POINT (564859.8235167146 3478533.311979011),2020.0,dry
1111,POINT (564859.7924472786 3478538.311882479),2020.0,dry
1112,POINT (564859.7613778426 3478543.3117859475),2020.0,dry
1113,POINT (564859.7303084066 3478548.3116894155),2020.0,dry
1114,POINT (564859.6992389706 3478553.3115928834),2020.0,dry
1115,POINT (564859.6681695346 3478558.311496352),2020.0,dry
1116,POINT (564859.6371000987 3478563.31139982),2020.0,dry
1117,POINT (564859.6060306627 3478568.3113032877),2020.0,dry
1118,POINT (564859.5749612267 3478573.3112067557),2020.0,dry
1119,POINT (564859.5438917907 3478578.311110224),2020.0,dry
1120,POINT (564859.5128223547 3478583.311013692),2020.0,dry
1121,POINT (564859.4817529187 3478588.31091716),2020.0,dry
1122,POINT (564859.4506834827 3478593.3108206284),2020.0,dry
1123,POINT (564856.5064891974 3478597.212246288),2020.0,dry
1124,POINT (564853.2285151873 3478600.987810668),2020.0,dry
1125,POINT (564849.9505411773 3478604.7633750485),2020.0,dry
1126,POINT (564846.6725671672 3478608.5389394285),2020.0,dry
1127,POINT (564843.3945931571 3478612.314503809),2020.0,dry
1128,POINT (564839.2731804008 3478614.2255006367),2020.0,dry
1129,POINT (564834.2732768698 3478614.194441328),2020.0,dry
1130,POINT (564832.900719466 3478617.836074342),2020.0,dry
1131,POINT (564832.8696622237 3478622.835977886),2020.0,dry
1132,POINT (564830.6389795156 3478627.006457195),2020.0,dry
1133,POINT (564827.3610204523 3478630.782034552),2020.0,dry
1134,POINT (564824.083061389 3478634.557611909),2020.0,dry
1135,POINT (564820.8051023257 3478638.3331892663),2020.0,dry
1136,POINT (564817.5271432626 3478642.1087666233),2020.0,dry
1137,POINT (564815.1261152491 3478646.215012133),2020.0,dry
1138,POINT (564815.0950660676 3478651.214915727),2020.0,dry
1139,POINT (564815.0640168862 3478656.214819321),2020.0,dry
1140,POINT (564815.0329677047 3478661.2147229146),2020.0,dry
1141,POINT (564815.0019185232 3478666.2146265088),2020.0,dry
1142,POINT (564814.9708693417 3478671.2145301024),2020.0,dry
1143,POINT (564814.9398201603 3478676.2144336966),2020.0,dry
1144,POINT (564814.9087709789 3478681.2143372903),2020.0,dry
1145,POINT (564815.0728616081 3478686.1434145407),2020.0,dry
1146,POINT (564818.3036621902 3478689.959423922),2020.0,dry
1147,POINT (564821.5344627724 3478693.7754333033),2020.0,dry
1148,POINT (564825.395320578 3478696.243451016),2020.0,dry
1149,POINT (564830.395224118 3478696.274508874),2020.0,dry
1150,POINT (564835.395127658 3478696.305566732),2020.0,dry
1151,POINT (564840.395031198 3478696.3366245897),2020.0,dry
1152,POINT (564843.9149411131 3478699.534059708),2020.0,dry
1153,POINT (564847.1457120359 3478703.3500942),2020.0,dry
1154,POINT (564850.3764829589 3478707.166128692),2020.0,dry
1155,POINT (564853.6072538818 3478710.982163184),2020.0,dry
1156,POINT (564856.8380248046 3478714.798197676),2020.0,dry
1157,POINT (564860.0687957276 3478718.614232168),2020.0,dry
1158,POINT (564863.2995666504 3478722.4302666597),2020.0,dry
1159,POINT (564866.5303375733 3478726.246301152),2020.0,dry
1160,POINT (564869.7611084962 3478730.062335644),2020.0,dry
1161,POINT (564872.9918794191 3478733.8783701356),2020.0,dry
1162,POINT (564876.2226503419 3478737.6944046277),2020.0,dry
1163,POINT (564879.4534212648 3478741.51043912),2020.0,dry
1164,POINT (564882.6841921877 3478745.3264736114),2020.0,dry
1165,POINT (564885.9149631106 3478749.1425081035),2020.0,dry
1166,POINT (564889.1457340334 3478752.9585425956),2020.0,dry
1167,POINT (564892.3765049564 3478756.7745770877),2020.0,dry
1168,POINT (564895.6072758792 3478760.5906115794),2020.0,dry
1169,POINT (564898.8380468021 3478764.4066460715),2020.0,dry
1170,POINT (564902.068817725 3478768.2226805636),2020.0,dry
1171,POINT (564905.2995886479 3478772.038715055),2020.0,dry
1172,POINT (564908.5303595708 3478775.8547495473),2020.0,dry
1173,POINT (564911.0853909545 3478779.916038322),2020.0,dry
1174,POINT (564911.05429442 3478784.915941621),2020.0,dry
1175,POINT (564911.0231978856 3478789.915844921),2020.0,dry
1176,POINT (564910.9921013511 3478794.9157482204),2020.0,dry
1177,POINT (564910.6297155845 3478799.7907290487),2020.0,dry
1178,POINT (564907.3517559712 3478803.5663059284),2020.0,dry
1179,POINT (564904.0737963578 3478807.341882808),2020.0,dry
1180,POINT (564902.0892766411 3478811.605189141),2020.0,dry
1181,POINT (564902.0581840344 3478816.605092465),2020.0,dry
1182,POINT (564902.0270914276 3478821.604995789),2020.0,dry
1183,POINT (564901.9959988208 3478826.604899113),2020.0,dry
1184,POINT (564901.964906214 3478831.604802437),2020.0,dry
1185,POINT (564901.9338136072 3478836.604705761),2020.0,dry
1186,POINT (564901.1212978702 3478841.3099517995),2020.0,dry
1187,POINT (564897.8433486376 3478845.0855376916),2020.0,dry
1188,POINT (564894.5653994051 3478848.8611235837),2020.0,dry
1189,POINT (564893.0310370614 3478853.2941765366),2020.0,dry
1190,POINT (564892.9999483823 3478858.294079885),2020.0,dry
1191,POINT (564892.9688597032 3478863.2939832336),2020.0,dry
1192,POINT (564892.9377710242 3478868.293886582),2020.0,dry
1193,POINT (564894.3153884052 3478872.7825177377),2020.0,dry
1194,POINT (564897.5461224596 3478876.598583443),2020.0,dry
1195,POINT (564900.776856514 3478880.414649149),2020.0,dry
1196,POINT (564904.0075905684 3478884.2307148543),2020.0,dry
1197,POINT (564907.2383246229 3478888.04678056),2020.0,dry
1198,POINT (564910.388956752 3478891.8919181754),2020.0,dry
1199,POINT (564910.3578593547 3478896.8918214696),2020.0,dry
1200,POINT (564910.3267619573 3478901.891724764),2020.0,dry
1201,POINT (564907.1397574482 3478905.701607573),2020.0,dry
1202,POINT (564903.8618158284 3478909.477200074),2020.0,dry
1203,POINT (564901.4551175301 3478913.5813181326),2020.0,dry
1204,POINT (564901.4240241426 3478918.581221452),2020.0,dry
1205,POINT (564901.3929307552 3478923.581124771),2020.0,dry
1206,POINT (564901.3618373676 3478928.5810280903),2020.0,dry
1207,POINT (564900.8008447505 3478933.381119444),2020.0,dry
1208,POINT (564897.5229117124 3478937.1567193964),2020.0,dry
1209,POINT (564894.2449786742 3478940.932319348),2020.0,dry
1210,POINT (564892.45913555 3478945.270549035),2020.0,dry
1211,POINT (564892.4280460903 3478950.270452379),2020.0,dry
1212,POINT (564892.3969566306 3478955.2703557224),2020.0,dry
1213,POINT (564892.3658671711 3478960.270259066),2020.0,dry
1214,POINT (564892.3347777114 3478965.2701624096),2020.0,dry
1215,POINT (564892.3036882518 3478970.2700657533),2020.0,dry
1216,POINT (564891.2925260387 3478974.900409748),2020.0,dry
1217,POINT (564888.0146033813 3478978.676018712),2020.0,dry
1218,POINT (564884.736680724 3478982.4516276764),2020.0,dry
1219,POINT (564851.2676684728 3478494.1348876473),2020.0,dry
1220,POINT (564851.2366037857 3478499.1347911446),2020.0,dry
1441,POINT (564878.2087465356 3478480.5136990217),2020.0,dry
1442,POINT (564874.9307189684 3478484.289216902),2020.0,dry
1443,POINT (564871.6526914012 3478488.064734783),2020.0,dry
1444,POINT (564868.374663834 3478491.840252664),2020.0,dry
1445,POINT (564865.0966362668 3478495.615770545),2020.0,dry
1446,POINT (564861.8186086996 3478499.391288426),2020.0,dry
1447,POINT (564857.7627209241 3478501.447175553),2020.0,dry
1448,POINT (564852.7628174399 3478501.416108717),2020.0,dry
1449,POINT (564685.9925466422 3478185.68761925),2020.0,dry
1450,POINT (564685.9615644556 3478190.6875232593),2020.0,dry
1451,POINT (564685.930582269 3478195.687427269),2020.0,dry
1452,POINT (564685.8996000824 3478200.6873312783),2020.0,dry
1453,POINT (564687.7827256281 3478204.9924523197),2020.0,dry
1454,POINT (564691.0136658142 3478208.8083435018),2020.0,dry
1455,POINT (564694.2446060003 3478212.624234684),2020.0,dry
1456,POINT (564694.5950285365 3478217.485694898),2020.0,dry
1457,POINT (564694.5640418075 3478222.485598879),2020.0,dry
1458,POINT (564694.5330550787 3478227.4855028605),2020.0,dry
1459,POINT (564694.5020683497 3478232.4854068416),2020.0,dry
1460,POINT (564694.4710816209 3478237.485310823),2020.0,dry
1466,POINT (564703.0036702439 3478264.3201142023),2020.0,dry
1467,POINT (564706.2345949161 3478268.1360185198),2020.0,dry
1468,POINT (564709.4655195883 3478271.9519228376),2020.0,dry
1469,POINT (564711.830822553 3478276.0820272774),2020.0,dry
1470,POINT (564711.7998269032 3478281.0819312036),2020.0,dry
1471,POINT (564711.7688312533 3478286.0818351293),2020.0,dry
1472,POINT (564711.7378356033 3478291.0817390555),2020.0,dry
1473,POINT (564711.7068399534 3478296.0816429816),2020.0,dry
1474,POINT (564711.6758443034 3478301.081546908),2020.0,dry
1475,POINT (564711.6448486536 3478306.0814508335),2020.0,dry
1476,POINT (564711.6138530037 3478311.0813547596),2020.0,dry
1477,POINT (564711.7626550859 3478316.015996999),2020.0,dry
1478,POINT (564714.9935565037 3478319.831921006),2020.0,dry
1479,POINT (564718.2244579215 3478323.6478450135),2020.0,dry
1480,POINT (564721.4553593392 3478327.4637690205),2020.0,dry
1481,POINT (564724.6862607569 3478331.279693028),2020.0,dry
1482,POINT (564727.9171621747 3478335.095617035),2020.0,dry
1483,POINT (564731.1480635925 3478338.9115410424),2020.0,dry
1484,POINT (564734.3789650103 3478342.7274650494),2020.0,dry
1485,POINT (564737.6098664281 3478346.543389057),2020.0,dry
1486,POINT (564740.8407678459 3478350.359313064),2020.0,dry
1487,POINT (564744.0716692636 3478354.1752370712),2020.0,dry
1488,POINT (564747.7275742211 3478357.081836182),2020.0,dry
1489,POINT (564752.7274780003 3478357.112855505),2020.0,dry
1490,POINT (564757.7273817796 3478357.1438748282),2020.0,dry
1491,POINT (564762.7272855588 3478357.174894151),2020.0,dry
1492,POINT (564767.7271893381 3478357.205913474),2020.0,dry
1493,POINT (564772.7270931173 3478357.236932797),2020.0,dry
1494,POINT (564776.0274787217 3478360.904162501),2020.0,dry
1495,POINT (564779.2583575884 3478364.7201056015),2020.0,dry
1496,POINT (564782.9438652466 3478367.563349222),2020.0,dry
1497,POINT (564787.9437689469 3478367.5943812714),2020.0,dry
1498,POINT (564792.0641978087 3478369.507082012),2020.0,dry
1499,POINT (564795.2950631378 3478373.3230365748),2020.0,dry
1500,POINT (564798.5259284669 3478377.1389911375),2020.0,dry
1501,POINT (564801.756793796 3478380.9549457002),2020.0,dry
1502,POINT (564804.9876591251 3478384.770900263),2020.0,dry
1503,POINT (564808.2185244542 3478388.586854826),2020.0,dry
1504,POINT (564811.4493897832 3478392.402809389),2020.0,dry
1505,POINT (564814.6802551124 3478396.2187639517),2020.0,dry
1506,POINT (564816.6519902041 3478400.4917344763),2020.0,dry
1507,POINT (564816.6209431154 3478405.491638083),2020.0,dry
1508,POINT (564817.6775647776 3478410.0967616467),2020.0,dry
1509,POINT (564820.9084178417 3478413.912726594),2020.0,dry
1510,POINT (564824.1392709058 3478417.728691541),2020.0,dry
1511,POINT (564825.3159829857 3478422.2902260916),2020.0,dry
1512,POINT (564825.2849315179 3478427.2901296713),2020.0,dry
1513,POINT (564827.1365596643 3478431.6066991324),2020.0,dry
1514,POINT (564830.3674056246 3478435.4226700943),2020.0,dry
1515,POINT (564833.5982515849 3478439.2386410558),2020.0,dry
1516,POINT (564833.9799383605 3478444.0887364685),2020.0,dry
1517,POINT (564833.9488825137 3478449.088640021),2020.0,dry
1518,POINT (564836.5955226069 3478453.11665586),2020.0,dry
1519,POINT (564839.8263614622 3478456.932632837),2020.0,dry
1520,POINT (564842.6749165468 3478460.8873620834),2020.0,dry
1521,POINT (564842.6438562799 3478465.8872656086),2020.0,dry
1522,POINT (564842.6127960129 3478470.8871691334),2020.0,dry
1523,POINT (564842.5817357459 3478475.8870726586),2020.0,dry
1524,POINT (564842.5900439279 3478480.8726872136),2020.0,dry
1525,POINT (564845.8208737356 3478484.688671851),2020.0,dry
1526,POINT (564849.0517035432 3478488.5046564885),2020.0,dry
