,Q [mm/d],P [mm]
2005-10-29,0.0006416404152901619,0.0
2005-10-30,0.0006215891523123444,0.0
2005-10-31,0.0006015378893345268,0.0
2005-11-01,0.0005814866263567092,0.0
2005-11-02,0.0005614353633788917,0.0
2005-11-03,0.0005614353633788917,0.0
2005-11-04,0.0005614353633788917,0.0
2005-11-05,0.0005614353633788917,0.0
2005-11-06,0.0005413841004010741,0.0
2005-11-07,0.0005213328374232565,0.0
2005-11-08,0.0005012815744454389,0.0
2005-11-09,0.0005012815744454389,0.0
2005-11-10,0.0005614353633788917,0.0
2005-11-11,0.0006416404152901619,0.0
2005-11-12,0.0006616916782679795,0.0
2005-11-13,0.0006416404152901619,0.0
2005-11-14,0.0006015378893345268,0.0
2005-11-15,0.0006015378893345268,0.0
2005-11-16,0.0006215891523123444,0.0
2005-11-17,0.0005614353633788917,0.0
2005-11-18,0.00046117904848980384,0.0
2005-11-19,0.00046117904848980384,0.0
2005-11-20,0.00046117904848980384,0.0
2005-11-21,0.00046117904848980384,0.0
2005-11-22,0.00046117904848980384,0.0
2005-11-23,0.0004411277855119863,0.0
2005-11-24,0.00042107652253416876,0.0
2005-11-25,0.0004411277855119863,0.0
2005-11-26,0.0003809739965785336,0.0
2005-11-27,0.0005012815744454389,0.0
2005-11-28,0.00042107652253416876,0.0
2005-11-29,0.00046117904848980384,0.0
2005-11-30,0.0004010252595563512,0.0
2005-12-01,0.0003007689446672634,0.0
2005-12-02,0.00022056389275599314,0.0
2005-12-03,0.00022056389275599314,0.0
2005-12-04,0.0002406151557338107,0.0
2005-12-05,0.0002406151557338107,0.0
2005-12-06,0.0002406151557338107,0.0
2005-12-07,0.0002406151557338107,0.0
2005-12-08,0.0002406151557338107,0.0
2005-12-09,0.00022056389275599314,0.0
2005-12-10,0.00022056389275599314,0.0
2005-12-11,0.00022056389275599314,0.0
2005-12-12,0.00022056389275599314,0.0
2005-12-13,0.00032082020764508096,2.413
2005-12-14,0.00026066641871162825,0.0
2005-12-15,0.00026066641871162825,0.0
2005-12-16,0.00026066641871162825,0.0
2005-12-17,0.0002406151557338107,0.0
2005-12-18,0.0002406151557338107,0.0
2005-12-19,0.0002406151557338107,0.0
2005-12-20,0.0002406151557338107,0.0
2005-12-21,0.0002406151557338107,0.0
2005-12-22,0.0002406151557338107,0.0
2005-12-23,0.0002406151557338107,0.0
2005-12-24,0.00022056389275599314,0.0
2005-12-25,0.00022056389275599314,0.0
2005-12-26,0.0002406151557338107,0.0
2005-12-27,0.0002406151557338107,0.0
2005-12-28,0.0002406151557338107,0.0
2005-12-29,0.0002406151557338107,0.0
2005-12-30,0.0002406151557338107,0.0
2005-12-31,0.00022056389275599314,0.0
2006-01-01,0.00022056389275599314,0.0
2006-01-02,0.00022056389275599314,0.0
2006-01-03,0.00022056389275599314,0.0
2006-01-04,0.0002005126297781756,0.0
2006-01-05,0.0002005126297781756,0.0
2006-01-06,0.00022056389275599314,0.0
2006-01-07,0.00022056389275599314,0.0
2006-01-08,0.00022056389275599314,0.0
2006-01-09,0.00022056389275599314,0.0
2006-01-10,0.00022056389275599314,0.0
2006-01-11,0.00022056389275599314,0.0
2006-01-12,0.0002005126297781756,0.0
2006-01-13,0.0002005126297781756,0.0
2006-01-14,0.0002005126297781756,0.0
2006-01-15,0.0002005126297781756,0.0
2006-01-16,0.00022056389275599314,0.0
2006-01-17,0.00022056389275599314,0.0
2006-01-18,0.0002406151557338107,0.0
2006-01-19,0.00022056389275599314,0.0
2006-01-20,0.00022056389275599314,0.0
2006-01-21,0.00022056389275599314,0.0
2006-01-22,0.00022056389275599314,0.0
2006-01-23,0.00022056389275599314,0.0
2006-01-24,0.00022056389275599314,0.0
2006-01-25,0.0002406151557338107,1.651
2006-01-26,0.00022056389275599314,0.0
2006-01-27,0.00022056389275599314,0.0
2006-01-28,0.00022056389275599314,0.0
2006-01-29,0.00022056389275599314,0.0
2006-01-30,0.00022056389275599314,0.0
2006-01-31,0.0002005126297781756,0.0
2006-02-01,0.0002005126297781756,0.0
2006-02-02,0.0002005126297781756,0.0
2006-02-03,0.0002005126297781756,0.0
2006-02-04,0.0002005126297781756,0.0
2006-02-05,0.0002005126297781756,0.0
2006-02-06,0.00018046136680035802,0.0
2006-02-07,0.00018046136680035802,0.0
2006-02-08,0.00018046136680035802,0.0
2006-02-09,0.0002005126297781756,0.762
2006-02-10,0.0002005126297781756,0.0
2006-02-11,0.00018046136680035802,0.0
2006-02-12,0.00018046136680035802,0.0
2006-02-13,0.00018046136680035802,0.0
2006-02-14,0.00018046136680035802,0.0
2006-02-15,0.00016041010382254048,0.0
2006-02-16,0.00016041010382254048,0.0
2006-02-17,0.00018046136680035802,0.8255
2006-02-18,0.0002005126297781756,0.0
2006-02-19,0.00018046136680035802,0.0
2006-02-20,0.00018046136680035802,0.0
2006-02-21,0.00018046136680035802,0.0
2006-02-22,0.00018046136680035802,0.0
2006-02-23,0.00018046136680035802,0.0
2006-02-24,0.00018046136680035802,0.0
2006-02-25,0.00016041010382254048,0.0
2006-02-26,0.00016041010382254048,0.0
2006-02-27,0.00016041010382254048,0.0
2006-02-28,0.00016041010382254048,0.0
2006-03-01,0.00014035884084472294,0.0
2006-03-02,0.00014035884084472294,0.0
2006-03-03,0.00014035884084472294,0.0
2006-03-04,0.00012030757786690535,0.0
2006-03-05,0.00012030757786690535,0.0
2006-03-06,0.00012030757786690535,0.0
2006-03-07,0.00012030757786690535,4.5085
2006-03-08,0.00012030757786690535,0.0
2006-03-09,0.00014035884084472294,0.0
2006-03-10,0.00014035884084472294,0.0
2006-03-11,0.00014035884084472294,0.0
2006-03-12,0.0002005126297781756,3.683
2006-03-13,0.0002005126297781756,0.0
2006-03-14,0.00018046136680035802,0.0
2006-03-15,0.00018046136680035802,0.0
2006-03-16,0.00018046136680035802,0.0
2006-03-17,0.00016041010382254048,0.0
2006-03-18,0.00016041010382254048,0.0
2006-03-19,0.00016041010382254048,2.4764999999999997
2006-03-20,0.00018046136680035802,0.381
2006-03-21,0.00018046136680035802,0.0
2006-03-22,0.00018046136680035802,0.0
2006-03-23,0.00018046136680035802,0.0
2006-03-24,0.00016041010382254048,0.0
2006-03-25,0.00016041010382254048,0.0
2006-03-26,0.00016041010382254048,0.0
2006-03-27,0.00014035884084472294,0.0
2006-03-28,0.00014035884084472294,0.0
2006-03-29,0.00014035884084472294,0.0
2006-03-30,0.00014035884084472294,0.0
2006-03-31,0.00014035884084472294,0.0
2006-04-01,0.00012030757786690535,0.0
2006-04-02,0.00012030757786690535,0.0
2006-04-03,0.00012030757786690535,0.0
2006-04-04,0.00012030757786690535,0.0
2006-04-05,0.00012030757786690535,0.254
2006-04-06,0.00012030757786690535,0.0
2006-04-07,0.00012030757786690535,0.0
2006-04-08,0.00012030757786690535,0.0
2006-04-09,0.0001002563148890878,0.0
2006-04-10,0.0001002563148890878,2.286
2006-04-11,0.0001002563148890878,0.0
2006-04-12,0.0001002563148890878,0.0
2006-04-13,0.0001002563148890878,0.0
2006-04-14,0.0001002563148890878,0.0
2006-04-15,0.0001002563148890878,0.0
2006-04-16,0.0001002563148890878,0.0
2006-04-17,0.0001002563148890878,0.0
2006-04-18,0.0001002563148890878,0.0
2006-04-19,0.0001002563148890878,0.0
2006-04-20,0.0001002563148890878,0.0
2006-04-21,0.0001002563148890878,0.0
2006-04-22,8.020505191127024e-05,0.0
2006-04-23,8.020505191127024e-05,0.0
2006-04-24,8.020505191127024e-05,0.0
2006-04-25,8.020505191127024e-05,0.0
2006-04-26,8.020505191127024e-05,0.0
2006-04-27,8.020505191127024e-05,0.0
2006-04-28,8.020505191127024e-05,0.0
2006-04-29,8.020505191127024e-05,0.0
2006-04-30,8.020505191127024e-05,0.0
2006-05-01,8.020505191127024e-05,0.0
2006-05-02,6.015378893345268e-05,0.0
2006-05-03,6.015378893345268e-05,0.0
2006-05-04,6.015378893345268e-05,0.0
2006-05-05,6.015378893345268e-05,0.0
2006-05-06,4.010252595563512e-05,0.0
2006-05-07,4.010252595563512e-05,0.0
2006-05-08,4.010252595563512e-05,0.0
2006-05-09,4.010252595563512e-05,0.0
2006-05-10,4.010252595563512e-05,0.0
2006-05-11,4.010252595563512e-05,0.0
2006-05-12,2.005126297781756e-05,0.0
2006-05-13,2.005126297781756e-05,0.0
2006-05-14,2.005126297781756e-05,0.0
2006-05-15,2.005126297781756e-05,0.0
2006-05-16,2.005126297781756e-05,0.0
2006-05-17,2.005126297781756e-05,0.254
2006-05-18,2.005126297781756e-05,0.0
2006-05-19,2.005126297781756e-05,0.0
2006-05-20,2.005126297781756e-05,0.0
2006-05-21,2.005126297781756e-05,0.0
2006-05-22,2.005126297781756e-05,0.0
2006-05-23,2.005126297781756e-05,0.0
2006-05-24,2.005126297781756e-05,0.0
2006-05-25,2.005126297781756e-05,0.0
2006-05-26,2.005126297781756e-05,0.0
2006-05-27,0.0,0.0
2006-05-28,0.0,0.0
2006-05-29,0.0,0.0
2006-05-30,0.0,0.0
2006-05-31,0.0,0.0
2006-06-01,0.0,0.0
2006-06-02,0.0,0.0
2006-06-03,0.0,0.0
2006-06-04,0.0,0.0
2006-06-05,0.0,0.0
2006-06-06,0.0,2.7939999999999996
2006-06-07,0.0,0.508
2006-06-08,0.0,0.0
2006-06-09,0.0,0.0
2006-06-10,0.0,0.0
2006-06-11,0.0,0.0
2006-06-12,0.0,0.0
2006-06-13,0.0,0.0
2006-06-14,0.0,0.0
2006-06-15,0.0,0.0
2006-06-16,0.0,0.0
2006-06-17,0.0,0.0
2006-06-18,0.0,0.0
2006-06-19,0.0,0.0
2006-06-20,0.0,0.0
2006-06-21,0.0,52.705
2006-06-22,0.0,0.0
2006-06-23,0.0,0.0
2006-06-24,0.0,0.0
2006-06-25,0.0,0.254
2006-06-26,0.0,0.0
2006-06-27,0.0,0.0
2006-06-28,0.0,0.0
2006-06-29,0.0,0.0
2006-06-30,0.0,2.921
2006-07-01,0.0,0.0
2006-07-02,0.0,0.508
2006-07-03,0.0,0.0
2006-07-04,0.0,6.604
2006-07-05,0.0,0.254
2006-07-06,0.0,0.6985
2006-07-07,0.0,2.9845
2006-07-08,0.0,0.0
2006-07-09,0.0,0.0
2006-07-10,0.0,0.0
2006-07-11,0.0,0.0
2006-07-12,0.0,0.0
2006-07-13,0.0,0.0
2006-07-14,0.0,1.27
2006-07-15,0.0,0.0
2006-07-16,0.0,0.3175
2006-07-17,0.0,0.0
2006-07-18,0.0,0.0
2006-07-19,0.0,2.9844999999999997
2006-07-20,0.0,0.0
2006-07-21,0.0,0.0
2006-07-22,0.0,0.0
2006-07-23,0.0,0.0
2006-07-24,0.0,0.0
2006-07-25,0.0,0.0
2006-07-26,0.0,0.0
2006-07-27,0.0,23.685499999999998
2006-07-28,0.0,6.57225
2006-07-29,0.0,14.89075
2006-07-30,0.0,1.5875
2006-07-31,0.0,1.651
2006-08-01,0.0,0.0
2006-08-02,0.0,0.0
2006-08-03,0.0,7.747
2006-08-04,0.0,0.6985
2006-08-05,0.0,0.0
2006-08-06,0.0,0.9652
2006-08-07,0.0,0.0
2006-08-08,0.0,4.699
2006-08-09,0.0,4.6355
2006-08-10,0.0,0.254
2006-08-11,0.004531585432986767,1.36525
2006-08-12,0.0031279970245395392,12.954
2006-08-13,0.00254651039818283,8.128
2006-08-14,0.002726971764983188,0.0
2006-08-15,0.004411277855119863,6.1594999999999995
2006-08-16,0.01748470131665691,0.0
2006-08-17,0.01995100666292847,2.9844999999999997
2006-08-18,0.01355465377300467,0.0
2006-08-19,0.009704811281263699,0.0
2006-08-20,0.007499172353703767,0.0
2006-08-21,0.005714609948678004,2.5717499999999998
2006-08-22,0.005433892266988558,0.0
2006-08-23,0.00509302079636566,0.0
2006-08-24,0.008060607717082656,8.636
2006-08-25,0.02045228823737391,11.303
2006-08-26,0.023459977684046545,0.0
2006-08-27,0.0190687510919045,0.0
2006-08-28,0.015018395970385352,0.0
2006-08-29,0.011790142630956724,0.0
2006-08-30,0.009183478443840442,0.0
2006-08-31,0.007158300883080868,0.0
2006-09-01,0.006476557941835072,0.0
2006-09-02,0.0058349175265449095,0.0
2006-09-03,0.005734661211655822,1.4816666666666667
2006-09-04,0.006195840260145626,4.916714285714286
2006-09-05,0.009424093599574253,10.8458
2006-09-06,0.010306349170598226,0.0
2006-09-07,0.006877583201391423,0.9525
2006-09-08,0.00705804456819178,0.0
2006-09-09,0.008100710243038293,0.0
2006-09-10,0.007840043824326666,0.0
2006-09-11,0.00591512257845618,0.508
2006-09-12,0.007699684983481943,3.683
2006-09-13,0.01700347100518929,4.191
2006-09-14,0.016121215434165313,0.0
2006-09-15,0.011970603997757083,0.0
2006-09-16,0.009704811281263699,0.0
2006-09-17,0.007960351402193571,0.0
2006-09-18,0.006636968045657612,0.0
2006-09-19,0.005614353633788916,0.0
2006-09-20,0.005213328374232566,0.0
2006-09-21,0.005032867007432207,0.0
2006-09-22,0.004912559429565302,0.0
2006-09-23,0.004671944273831491,0.0
2006-09-24,0.004451380381075498,0.0
2006-09-25,0.004210765225341687,0.0
2006-09-26,0.0040102525955635114,0.0
2006-09-27,0.0038297912287631537,0.0
2006-09-28,0.0036493298619627956,0.0
2006-09-29,0.0034287659692068028,0.0
2006-09-30,0.0032082020764508095,0.0
2006-10-01,0.0031680995504951744,0.0
2006-10-02,0.003007689446672634,0.0
2006-10-03,0.0028472793428500932,0.0
2006-10-04,0.002726971764983188,0.0
2006-10-05,0.0026267154500941004,0.0
2006-10-06,0.002646766713071918,2.7305
2006-10-07,0.0025264591352050125,0.0
2006-10-08,0.002506407872227195,1.17475
2006-10-09,0.00246630534627156,0.5715
2006-10-10,0.0023058952424490193,0.0
2006-10-11,0.002225690190537749,0.0
2006-10-12,0.0021655364016042963,0.0
2006-10-13,0.002085331349693026,0.0
2006-10-14,0.002045228823737391,0.0
2006-10-15,0.0020251775607595733,0.0
2006-10-16,0.0019449725088483032,0.0
2006-10-17,0.001864767456937033,0.0
2006-10-18,0.0018246649309813978,0.0
2006-10-19,0.0017845624050257627,0.0
2006-10-20,0.0017444598790701275,0.0
2006-10-21,0.0016642548271588575,0.0
2006-10-22,0.0015639985122697696,0.0
2006-10-23,0.0014637421973806818,0.0
2006-10-24,0.0014236396714250466,2.032
2006-10-25,0.0013434346195137763,0.0
2006-10-26,0.0012632295676025063,0.0
2006-10-27,0.0012030757786690536,0.0
2006-10-28,0.0011629732527134184,0.0
2006-10-29,0.0011228707267577835,0.0
2006-10-30,0.0010827682008021481,0.0
2006-10-31,0.0010627169378243306,0.0
2006-11-01,0.0010226144118686954,0.0
2006-11-02,0.0010025631488908779,0.0
2006-11-03,0.0009825118859130603,0.0
2006-11-04,0.0009424093599574253,0.0
2006-11-05,0.0009223580969796077,0.0
2006-11-06,0.0009023068340017901,0.0
2006-11-07,0.000862204308046155,0.0
2006-11-08,0.0008221017820905199,0.0
2006-11-09,0.0008020505191127024,0.0
2006-11-10,0.0007819992561348848,0.0
2006-11-11,0.0007619479931570672,0.0
2006-11-12,0.0007619479931570672,0.0
2006-11-13,0.0007819992561348848,0.0
2006-11-14,0.0007819992561348848,0.0
2006-11-15,0.0007819992561348848,0.0
2006-11-16,0.0007619479931570672,0.0
2006-11-17,0.0007218454672014321,0.0
2006-11-18,0.0007218454672014321,0.0
2006-11-19,0.0007218454672014321,0.0
2006-11-20,0.0007218454672014321,0.0
2006-11-21,0.0007218454672014321,0.0
2006-11-22,0.0007017942042236145,0.0
2006-11-23,0.000681742941245797,0.0
2006-11-24,0.000681742941245797,0.0
2006-11-25,0.0006616916782679795,0.0
2006-11-26,0.0006616916782679795,0.0
2006-11-27,0.0006616916782679795,0.0
2006-11-28,0.0006616916782679795,0.0
2006-11-29,0.000681742941245797,0.0
2006-11-30,0.000681742941245797,0.0
2006-12-01,0.000681742941245797,0.0
2006-12-02,0.0006616916782679795,0.0
2006-12-03,0.0006616916782679795,0.0
2006-12-04,0.0006616916782679795,0.0
2006-12-05,0.000681742941245797,0.0
2006-12-06,0.0006616916782679795,0.0
2006-12-07,0.0006416404152901619,0.0
2006-12-08,0.000681742941245797,0.0
2006-12-09,0.0006215891523123444,0.0
2006-12-10,0.0006015378893345268,0.0
2006-12-11,0.0005814866263567092,0.0
2006-12-12,0.0005814866263567092,0.0
2006-12-13,0.0005814866263567092,0.0
2006-12-14,0.0005814866263567092,0.0
2006-12-15,0.0005814866263567092,0.0
2006-12-16,0.0006015378893345268,0.0
2006-12-17,0.0005814866263567092,0.0
2006-12-18,0.0005614353633788917,0.0
2006-12-19,0.0005814866263567092,0.0
2006-12-20,0.0005814866263567092,0.0
2006-12-21,0.0005814866263567092,0.0
2006-12-22,0.0005814866263567092,0.0
2006-12-23,0.0005614353633788917,0.0
2006-12-24,0.0005413841004010741,0.0
2006-12-25,0.0005213328374232565,0.0
2006-12-26,0.0005213328374232565,0.0
2006-12-27,0.0005213328374232565,4.762499999999999
2006-12-28,0.0005413841004010741,0.42333333333333334
2006-12-29,0.0005213328374232565,1.778
2006-12-30,0.0005413841004010741,0.0
2006-12-31,0.0005614353633788917,0.0
2007-01-01,0.0005614353633788917,0.0
2007-01-02,0.0005413841004010741,0.0
2007-01-03,0.0005614353633788917,0.0
2007-01-04,0.0005614353633788917,0.0
2007-01-05,0.0005614353633788917,0.889
2007-01-06,0.0005614353633788917,0.0
2007-01-07,0.0005413841004010741,0.0
2007-01-08,0.0005413841004010741,0.0
2007-01-09,0.0005413841004010741,0.0
2007-01-10,0.0005413841004010741,1.651
2007-01-11,0.0005614353633788917,0.0
2007-01-12,0.0005614353633788917,0.0
2007-01-13,0.0005614353633788917,0.0
2007-01-14,0.0005614353633788917,0.0
2007-01-15,0.0005614353633788917,0.0
2007-01-16,0.0005614353633788917,0.0
2007-01-17,0.0005614353633788917,0.0
2007-01-18,0.0005614353633788917,16.8275
2007-01-19,0.0007017942042236145,0.762
2007-01-20,0.0005413841004010741,0.381
2007-01-21,0.0005614353633788917,0.0
2007-01-22,0.0005413841004010741,1.4816666666666667
2007-01-23,0.0005213328374232565,0.0
2007-01-24,0.0005012815744454389,0.0
2007-01-25,0.0005012815744454389,0.254
2007-01-26,0.0005012815744454389,0.0
2007-01-27,0.0004812303114676214,0.0
2007-01-28,0.0004812303114676214,0.0
2007-01-29,0.00046117904848980384,0.0
2007-01-30,0.0004812303114676214,0.0
2007-01-31,0.0005213328374232565,0.0
2007-02-01,0.0005213328374232565,0.0
2007-02-02,0.0004812303114676214,0.0
2007-02-03,0.0004812303114676214,0.0
2007-02-04,0.00046117904848980384,0.0
2007-02-05,0.00046117904848980384,0.0
2007-02-06,0.0004411277855119863,0.0
2007-02-07,0.0004411277855119863,0.0
2007-02-08,0.0004411277855119863,0.0
2007-02-09,0.0004411277855119863,0.0
2007-02-10,0.0004411277855119863,0.0
2007-02-11,0.0004411277855119863,0.0
2007-02-12,0.0004411277855119863,0.0
2007-02-13,0.00046117904848980384,0.0
2007-02-14,0.00046117904848980384,0.0
2007-02-15,0.00046117904848980384,0.0
2007-02-16,0.00046117904848980384,0.0
2007-02-17,0.0005413841004010741,0.0
2007-02-18,0.0005012815744454389,0.0
2007-02-19,0.00046117904848980384,1.27
2007-02-20,0.0004812303114676214,0.0
2007-02-21,0.0004812303114676214,0.0
2007-02-22,0.0004812303114676214,0.0
2007-02-23,0.0004812303114676214,0.0
2007-02-24,0.00046117904848980384,0.0
2007-02-25,0.00046117904848980384,0.0
2007-02-26,0.0004411277855119863,0.0
2007-02-27,0.0004411277855119863,0.0
2007-02-28,0.0004411277855119863,0.0
2007-03-01,0.0004411277855119863,0.0
2007-03-02,0.0004411277855119863,0.0
2007-03-03,0.0004411277855119863,0.0
2007-03-04,0.0005213328374232565,0.0
2007-03-05,0.0004812303114676214,0.0
2007-03-06,0.00042107652253416876,0.0
2007-03-07,0.0004010252595563512,0.0
2007-03-08,0.0004010252595563512,0.0
2007-03-09,0.0003809739965785336,0.0
2007-03-10,0.0003809739965785336,0.0
2007-03-11,0.0003809739965785336,0.0
2007-03-12,0.0003809739965785336,0.0
2007-03-13,0.0003809739965785336,0.0
2007-03-14,0.0003809739965785336,0.0
2007-03-15,0.00036092273360071605,0.0
2007-03-16,0.00036092273360071605,0.0
2007-03-17,0.00036092273360071605,0.0
2007-03-18,0.00036092273360071605,0.0
2007-03-19,0.00036092273360071605,0.0
2007-03-20,0.00036092273360071605,0.0
2007-03-21,0.0003809739965785336,2.8575
2007-03-22,0.001042665674846513,3.956538461538462
2007-03-23,0.001764511142047945,1.1067142857142858
2007-03-24,0.0011429219897356009,0.0
2007-03-25,0.0008421530450683375,0.0
2007-03-26,0.0006616916782679795,0.0
2007-03-27,0.0005614353633788917,0.0
2007-03-28,0.0005012815744454389,0.0
2007-03-29,0.0004812303114676214,0.0
2007-03-30,0.0004812303114676214,0.0
2007-03-31,0.00046117904848980384,0.0
2007-04-01,0.0004812303114676214,0.0
2007-04-02,0.0005012815744454389,0.0
2007-04-03,0.0005213328374232565,0.0
2007-04-04,0.0005213328374232565,0.0
2007-04-05,0.0005413841004010741,0.0
2007-04-06,0.0005614353633788917,0.0
2007-04-07,0.0005814866263567092,0.0
2007-04-08,0.0005814866263567092,0.0
2007-04-09,0.0006015378893345268,0.0
2007-04-10,0.0006215891523123444,0.0
2007-04-11,0.0006416404152901619,0.0
2007-04-12,0.0006416404152901619,0.0
2007-04-13,0.0006616916782679795,2.794
2007-04-14,0.0006616916782679795,0.0
2007-04-15,0.000681742941245797,0.0
2007-04-16,0.0007017942042236145,0.0
2007-04-17,0.0007017942042236145,0.0
2007-04-18,0.000681742941245797,0.0
2007-04-19,0.000681742941245797,0.0
2007-04-20,0.000681742941245797,0.0
2007-04-21,0.0006416404152901619,0.0
2007-04-22,0.0006015378893345268,0.0
2007-04-23,0.0005814866263567092,0.0
2007-04-24,0.0005413841004010741,0.0
2007-04-25,0.0005213328374232565,0.0
2007-04-26,0.00046117904848980384,0.0
2007-04-27,0.00046117904848980384,0.0
2007-04-28,0.0004411277855119863,0.0
2007-04-29,0.0004411277855119863,0.0
2007-04-30,0.00042107652253416876,0.0
2007-05-01,0.00042107652253416876,0.0
2007-05-02,0.0004010252595563512,0.0
2007-05-03,0.0003809739965785336,0.0
2007-05-04,0.0003809739965785336,0.0
2007-05-05,0.0003809739965785336,0.0
2007-05-06,0.00036092273360071605,0.0
2007-05-07,0.0003408714706228985,0.0
2007-05-08,0.0003408714706228985,0.0
2007-05-09,0.0003408714706228985,0.0
2007-05-10,0.0003007689446672634,0.0
2007-05-11,0.0002807176816894459,0.0
2007-05-12,0.00026066641871162825,0.0
2007-05-13,0.00026066641871162825,0.0
2007-05-14,0.0002406151557338107,0.0
2007-05-15,0.00022056389275599314,0.0
2007-05-16,0.00022056389275599314,0.254
2007-05-17,0.0002005126297781756,0.0
2007-05-18,0.00018046136680035802,0.0
2007-05-19,0.00016041010382254048,0.0
2007-05-20,0.00016041010382254048,0.0
2007-05-21,0.00014035884084472294,0.0
2007-05-22,0.00014035884084472294,0.0
2007-05-23,0.00014035884084472294,0.0
2007-05-24,0.00012030757786690535,0.0
2007-05-25,0.00012030757786690535,0.0
2007-05-26,0.0001002563148890878,0.0
2007-05-27,0.0001002563148890878,0.0
2007-05-28,8.020505191127024e-05,0.0
2007-05-29,8.020505191127024e-05,0.0
2007-05-30,6.015378893345268e-05,0.0
2007-05-31,6.015378893345268e-05,0.0
2007-06-01,6.015378893345268e-05,0.0
2007-06-02,6.015378893345268e-05,0.0
2007-06-03,6.015378893345268e-05,0.0
